home,road,line,lineopen,neutral,linesag,linesage,linesagp,linesaggm,linemoore,linefox,linedunkel,lineteamrnks,linedok,linepugh,linedd,line7ot,linepir,linemassey,lineespn,lineer,lineround,linetalis,linedonc,line70t,lineavg,std
Seton Hall,Marquette,3.5,2.5,1,3.52,4.66,2.52,2.83,2.23,3,2.468,1.2,2.16,1.93,,1,1.4,2.55,2.0751308435,3.04,-1,1.3,,,2.2426956777,1.2270574442
South Carolina,Arkansas,-1.5,-1.5,1,-1.95,-1.91,-2.24,-1.84,-2.46,1,0.062,-3.1,-2.49,-2.16,,-2,-2.4,-1.6,-3.008760084,,,,-2.5,,-1.899768577,1.1259147451
St. Bonaventure,George Mason,4.5,3.5,1,2.44,0.93,3.5,2.98,0.19,2,3.887,2.4,3.15,2.26,,6,2.6,3.37,2.8574340853,4.85,,,4.7,,2.807628939,1.2402907108
Tennessee,Alabama,-1.5,0,1,1.27,2.18,0.44,0.75,0.79,1,-4.784,-0.6,-0.49,0.09,,1,-1.1,-0.09,1.2908615948,-0.07,-1,0,,,-0.02019615,1.5518409176
Texas,Texas Tech,-6.5,-5.5,1,-1.33,0.77,-4.04,-2.66,-6.07,-6,-7.526,-5.6,-5.52,-5.79,,5,-5.5,-3.42,-6.557503323,-7.72,-6,-6.2,,,-4.947718958,2.2789757887
Texas A&M,Missouri,-2.5,-2.5,1,-0.5,2.37,-2.67,-0.66,-3.03,-3,-0.827,-3.3,-2.32,-2.74,,1,-2.7,-1.42,-4.094208357,-3.09,-2,-4.2,-2.9,,-2.18124755,1.5980452156
UC Irvine,Long Beach St.,12,12.5,1,12.45,14.22,12.17,11.19,11.11,14,12.311,12.3,10.15,12.6,,6,12.1,11.78,16.255674107,12.43,11,13.6,11.2,,12.403922006,1.4653856644
UC Santa Barbara,Cal Riverside,3.5,2.5,1,4.77,5.27,3.96,5.1,1.22,2,3.75,2.8,2.94,2.34,,4,3,2.82,3.2473104197,4.78,4,2.2,3.9,,3.4174888482,1.1612604814
UCLA,California,7.5,7,1,6.47,8.16,6.89,5.85,8.82,9,4.81,6.6,6.06,7.35,,6,6.8,6.28,6.4725303728,,,,,,6.8894254133,1.187201773
USC,Arizona,-4.5,-5,1,-1.18,3.58,-6.16,-3,-4.03,-3,-3.734,-6.7,-5.17,-6.39,,-3,-5.8,-3.28,-7.692364479,-5.73,,,-5.5,,-4.252424299,2.779981257
UT Rio Grande Valley,CS Bakersfield,2,2,1,2.48,4.72,1.13,1.52,1.29,1,1.42,0.1,1.71,0.3,,1,0.3,1.66,-1.254095929,0.38,1,-0.3,,,1.0909940044,1.324869048
Villanova,DePaul,10,9,1,9.63,10.34,9.08,9.69,8.9,14,8.179,9.5,8.38,9.08,,11,8.9,9.25,12.067556678,,,,,,9.7689658983,1.6019580151
Virginia,Notre Dame,3,7.5,1,3.31,4.17,2.25,3.6,0.98,1,0.218,1.4,2.12,1.4,,8,1.2,1.71,1.9100047893,,,,,,1.9436926761,1.1434161697
Western Kentucky,UAB,4,4,1,4.75,4.71,4.31,5.24,5.9,2,5.819,5.5,3.37,5.03,,8,5.2,4.72,5.9369838137,,,,5.4,,4.8489988438,1.0708005912
